id,name,bundesland,ags,ars,kommunaltyp,verwaltungstyp,parent_id,nuts_code,lau_code
7543,Wermsdorf,Sachsen,14730330,147300330330,GEMEINDE,Gemeindeverwaltung,,,
2168,Echzell,Hessen,06440006,064400006006,GEMEINDE,Gemeindeverwaltung,,,
2981,Westhausen (AA),Baden-Württemberg,08136082,081365004082,GEMEINDE,Gemeindeverwaltung,,,
4996,Arzberg (MAK),Bayern,09479112,094790112112,GEMEINDE,Gemeindeverwaltung,,,
3326,Wolfach,Baden-Württemberg,08317145,083175013145,GEMEINDE,Gemeindeverwaltung,,,
7544,Wiedemar,Sachsen,14730340,147300340340,GEMEINDE,Gemeindeverwaltung,,,
3050,Billigheim,Baden-Württemberg,08225009,082255008009,GEMEINDE,Gemeindeverwaltung,,,
3393,Immendingen,Baden-Württemberg,08327025,083275003025,GEMEINDE,Gemeindeverwaltung,,,
4108,Putzbrunn,Bayern,09184140,091840140140,GEMEINDE,Gemeindeverwaltung,,,
6622,Satow,Mecklenburg-Vorpommern,13072093,130720093093,GEMEINDE,Gemeindeverwaltung,,,
3534,Bodelshausen,Baden-Württemberg,08416006,084165002006,GEMEINDE,Gemeindeverwaltung,,,
2026,Eppertshausen,Hessen,06432005,064320005005,GEMEINDE,Gemeindeverwaltung,,,
7131,Drebach,Sachsen,14521150,145210150150,GEMEINDE,Gemeindeverwaltung,,,
2877,Schöntal,Baden-Württemberg,08126072,081260072072,GEMEINDE,Gemeindeverwaltung,,,
6771,Gadebusch,Mecklenburg-Vorpommern,13074021,130745452021,GEMEINDE,Gemeindeverwaltung,,,
2331,Ludwigsau,Hessen,06632012,066320012012,GEMEINDE,Gemeindeverwaltung,,,
3297,Kappelrodeck,Baden-Württemberg,08317056,083175006056,GEMEINDE,Gemeindeverwaltung,,,
2637,Bondorf,Baden-Württemberg,08115004,081155005004,GEMEINDE,Gemeindeverwaltung,,,
3293,Hausach,Baden-Württemberg,08317041,083175005041,GEMEINDE,Gemeindeverwaltung,,,
7177,Zschorlau,Sachsen,14521700,145215139700,GEMEINDE,Gemeindeverwaltung,,,
